Grubhub_slug,Grubhub_Business_Hours,Uber_Eats_slug,Uber_Eats_Business_Hours,is_out_of_range
,Monday: CLOSED - CLOSED,lvtacobar_1stavegourmetde_ue,Monday: 06:00 - 00:00,Out of Range
,Tuesday: CLOSED - CLOSED,lvtacobar_1stavegourmetde_ue,Tuesday: 06:00 - 00:00,Out of Range
,Wednesday: CLOSED - CLOSED,lvtacobar_1stavegourmetde_ue,Wednesday: 06:00 - 00:00,Out of Range
,Thursday: CLOSED - CLOSED,lvtacobar_1stavegourmetde_ue,Thursday: 06:00 - 00:00,Out of Range
,Friday: CLOSED - CLOSED,lvtacobar_1stavegourmetde_ue,Friday: 06:00 - 00:00,Out of Range
,Saturday: CLOSED - CLOSED,lvtacobar_1stavegourmetde_ue,Saturday: 06:00 - 00:00,Out of Range
,Sunday: CLOSED - CLOSED,lvtacobar_1stavegourmetde_ue,Sunday: 06:00 - 00:00,Out of Range
,Monday: CLOSED - CLOSED,princesspanini_1stavegourmetde_ue,Monday: 06:00 - 00:00,Out of Range
,Tuesday: CLOSED - CLOSED,princesspanini_1stavegourmetde_ue,Tuesday: 06:00 - 00:00,Out of Range
,Wednesday: CLOSED - CLOSED,princesspanini_1stavegourmetde_ue,Wednesday: 06:00 - 00:00,Out of Range
,Thursday: CLOSED - CLOSED,princesspanini_1stavegourmetde_ue,Thursday: 06:00 - 00:00,Out of Range
,Friday: CLOSED - CLOSED,princesspanini_1stavegourmetde_ue,Friday: 06:00 - 00:00,Out of Range
,Saturday: CLOSED - CLOSED,princesspanini_1stavegourmetde_ue,Saturday: 06:00 - 00:00,Out of Range
,Sunday: CLOSED - CLOSED,princesspanini_1stavegourmetde_ue,Sunday: 06:00 - 00:00,Out of Range
,Monday: CLOSED - CLOSED,theomelettefarm_1stavegourmetde_ue,Monday: 06:00 - 00:00,Out of Range
,Tuesday: CLOSED - CLOSED,theomelettefarm_1stavegourmetde_ue,Tuesday: 06:00 - 00:00,Out of Range
,Wednesday: CLOSED - CLOSED,theomelettefarm_1stavegourmetde_ue,Wednesday: 06:00 - 00:00,Out of Range
,Thursday: CLOSED - CLOSED,theomelettefarm_1stavegourmetde_ue,Thursday: 06:00 - 00:00,Out of Range
,Friday: CLOSED - CLOSED,theomelettefarm_1stavegourmetde_ue,Friday: 06:00 - 00:00,Out of Range
,Saturday: CLOSED - CLOSED,theomelettefarm_1stavegourmetde_ue,Saturday: 06:00 - 00:00,Out of Range
,Sunday: CLOSED - CLOSED,theomelettefarm_1stavegourmetde_ue,Sunday: 06:00 - 00:00,Out of Range
,Monday: CLOSED - CLOSED,thesandwichvibe_1stavegourmetde_ue,Monday: 06:00 - 00:00,Out of Range
,Tuesday: CLOSED - CLOSED,thesandwichvibe_1stavegourmetde_ue,Tuesday: 06:00 - 00:00,Out of Range
,Wednesday: CLOSED - CLOSED,thesandwichvibe_1stavegourmetde_ue,Wednesday: 06:00 - 00:00,Out of Range
,Thursday: CLOSED - CLOSED,thesandwichvibe_1stavegourmetde_ue,Thursday: 06:00 - 00:00,Out of Range
,Friday: CLOSED - CLOSED,thesandwichvibe_1stavegourmetde_ue,Friday: 06:00 - 00:00,Out of Range
,Saturday: CLOSED - CLOSED,thesandwichvibe_1stavegourmetde_ue,Saturday: 06:00 - 00:00,Out of Range
,Sunday: CLOSED - CLOSED,thesandwichvibe_1stavegourmetde_ue,Sunday: 06:00 - 00:00,Out of Range
,Monday: CLOSED - CLOSED,halalkabobgrill_aladdinskitchen_ue,Monday: 10:00 - 04:00,Out of Range
,Tuesday: CLOSED - CLOSED,halalkabobgrill_aladdinskitchen_ue,Tuesday: 10:00 - 04:00,Out of Range
,Wednesday: CLOSED - CLOSED,halalkabobgrill_aladdinskitchen_ue,Wednesday: 10:00 - 04:00,Out of Range
,Thursday: CLOSED - CLOSED,halalkabobgrill_aladdinskitchen_ue,Thursday: 10:00 - 04:00,Out of Range
,Friday: CLOSED - CLOSED,halalkabobgrill_aladdinskitchen_ue,Friday: 10:00 - 05:00,Out of Range
,Saturday: CLOSED - CLOSED,halalkabobgrill_aladdinskitchen_ue,Saturday: 10:00 - 05:00,Out of Range
,Sunday: CLOSED - CLOSED,halalkabobgrill_aladdinskitchen_ue,Sunday: 10:00 - 04:00,Out of Range
,Monday: CLOSED - CLOSED,themontageveget_aladdinskitchen_ue,Monday: 10:00 - 04:00,Out of Range
,Tuesday: CLOSED - CLOSED,themontageveget_aladdinskitchen_ue,Tuesday: 10:00 - 04:00,Out of Range
,Wednesday: CLOSED - CLOSED,themontageveget_aladdinskitchen_ue,Wednesday: 10:00 - 04:00,Out of Range
,Thursday: CLOSED - CLOSED,themontageveget_aladdinskitchen_ue,Thursday: 10:00 - 04:00,Out of Range
,Friday: CLOSED - CLOSED,themontageveget_aladdinskitchen_ue,Friday: 10:00 - 05:00,Out of Range
,Saturday: CLOSED - CLOSED,themontageveget_aladdinskitchen_ue,Saturday: 10:00 - 05:00,Out of Range
,Sunday: CLOSED - CLOSED,themontageveget_aladdinskitchen_ue,Sunday: 10:00 - 04:00,Out of Range
,Monday: CLOSED - CLOSED,alishalalpizza_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,alishalalpizza_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,alishalalpizza_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,alishalalpizza_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,alishalalpizza_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,alishalalpizza_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,alishalalpizza_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,celebrityveganb_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,celebrityveganb_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,celebrityveganb_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,celebrityveganb_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,celebrityveganb_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,celebrityveganb_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,celebrityveganb_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,chrisschickente_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,chrisschickente_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,chrisschickente_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,chrisschickente_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,chrisschickente_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,chrisschickente_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,chrisschickente_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,fionasveganpizz_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,fionasveganpizz_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,fionasveganpizz_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,fionasveganpizz_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,fionasveganpizz_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,fionasveganpizz_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,fionasveganpizz_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,greenssaladgod_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,greenssaladgod_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,greenssaladgod_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,greenssaladgod_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,greenssaladgod_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,greenssaladgod_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,greenssaladgod_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,icecreamfanatic_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,icecreamfanatic_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,icecreamfanatic_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,icecreamfanatic_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,icecreamfanatic_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,icecreamfanatic_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,icecreamfanatic_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,icecreamsuperst_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,icecreamsuperst_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,icecreamsuperst_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,icecreamsuperst_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,icecreamsuperst_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,icecreamsuperst_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,icecreamsuperst_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,joeschickenandw_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,joeschickenandw_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,joeschickenandw_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,joeschickenandw_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,joeschickenandw_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,joeschickenandw_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,joeschickenandw_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,morningseafoodc_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,morningseafoodc_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,morningseafoodc_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,morningseafoodc_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,morningseafoodc_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,morningseafoodc_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,morningseafoodc_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,theburgertrilog_allnitepizza_ue,Monday: 08:00 - 02:00,Out of Range
,Tuesday: CLOSED - CLOSED,theburgertrilog_allnitepizza_ue,Tuesday: 08:00 - 02:00,Out of Range
,Wednesday: CLOSED - CLOSED,theburgertrilog_allnitepizza_ue,Wednesday: 08:00 - 02:00,Out of Range
,Thursday: CLOSED - CLOSED,theburgertrilog_allnitepizza_ue,Thursday: 08:00 - 02:00,Out of Range
,Friday: CLOSED - CLOSED,theburgertrilog_allnitepizza_ue,Friday: 08:00 - 02:00,Out of Range
,Saturday: CLOSED - CLOSED,theburgertrilog_allnitepizza_ue,Saturday: 08:00 - 02:00,Out of Range
,Sunday: CLOSED - CLOSED,theburgertrilog_allnitepizza_ue,Sunday: 08:00 - 02:00,Out of Range
,Monday: CLOSED - CLOSED,chuckscheeseste_americanchoiceg_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,chuckscheeseste_americanchoiceg_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,chuckscheeseste_americanchoiceg_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,chuckscheeseste_americanchoiceg_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,chuckscheeseste_americanchoiceg_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,chuckscheeseste_americanchoiceg_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,chuckscheeseste_americanchoiceg_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,insomniabuffalo_americanchoiceg_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,insomniabuffalo_americanchoiceg_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,insomniabuffalo_americanchoiceg_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,insomniabuffalo_americanchoiceg_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,insomniabuffalo_americanchoiceg_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,insomniabuffalo_americanchoiceg_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,insomniabuffalo_americanchoiceg_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,midtownquesadil_americanchoiceg_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,midtownquesadil_americanchoiceg_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,midtownquesadil_americanchoiceg_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,midtownquesadil_americanchoiceg_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,midtownquesadil_americanchoiceg_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,midtownquesadil_americanchoiceg_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,midtownquesadil_americanchoiceg_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,oliviassandwich_americanchoiceg_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,oliviassandwich_americanchoiceg_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,oliviassandwich_americanchoiceg_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,oliviassandwich_americanchoiceg_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,oliviassandwich_americanchoiceg_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,oliviassandwich_americanchoiceg_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,oliviassandwich_americanchoiceg_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,patriciaspanini_americanchoiceg_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,patriciaspanini_americanchoiceg_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,patriciaspanini_americanchoiceg_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,patriciaspanini_americanchoiceg_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,patriciaspanini_americanchoiceg_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,patriciaspanini_americanchoiceg_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,patriciaspanini_americanchoiceg_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,prosperousfried_americanchoiceg_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,prosperousfried_americanchoiceg_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,prosperousfried_americanchoiceg_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,prosperousfried_americanchoiceg_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,prosperousfried_americanchoiceg_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,prosperousfried_americanchoiceg_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,prosperousfried_americanchoiceg_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,saladkreation_americanchoiceg_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,saladkreation_americanchoiceg_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,saladkreation_americanchoiceg_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,saladkreation_americanchoiceg_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,saladkreation_americanchoiceg_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,saladkreation_americanchoiceg_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,saladkreation_americanchoiceg_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,sarahsbreakfast_americanchoiceg_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,sarahsbreakfast_americanchoiceg_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,sarahsbreakfast_americanchoiceg_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,sarahsbreakfast_americanchoiceg_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,sarahsbreakfast_americanchoiceg_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,sarahsbreakfast_americanchoiceg_ue,Saturday: 00:00 - 23:59,Out of Range
